type.name;cost;instance.name;os;license;costCpu;costRam
Custom Committed 3y;0;custom;WINDOWS;;0.019648;0.002097
Custom;0;custom;SUSE;;0.036489;0.004892
Custom Preemptible;0;custom;SUSE;;0.00768;0.00103
Custom Committed 1y;0;custom;SUSE;;0.021907;0.002936
Custom Committed 3y;0;custom;SUSE;;0.015648;0.002097
Custom;0;custom;RHEL;;0.036489;0.004892
Custom Preemptible;0;custom;RHEL;;0.00768;0.00103
Custom Committed 1y;0;custom;RHEL;;0.021907;0.002936
Custom Committed 3y;0;custom;RHEL;;0.015648;0.002097
Custom;0;custom;WINDOWS;SQL Server Enterprise;0.439489;0.004892
Custom Preemptible;0;custom;WINDOWS;SQL Server Enterprise;0.44668;0.00103
Custom Committed 1y;0;custom;WINDOWS;SQL Server Enterprise;0.424907;0.002936
Custom Committed 3y;0;custom;WINDOWS;SQL Server Enterprise;0.418648;0.002097
Custom;0;custom;WINDOWS;SQL Server Web;0.051489;0.004892
Custom Preemptible;0;custom;WINDOWS;SQL Server Web;0.05868;0.00103
Custom Committed 1y;0;custom;WINDOWS;SQL Server Web;0.036907;0.002936
Custom Committed 3y;0;custom;WINDOWS;SQL Server Web;0.030648;0.002097
Custom;0;custom;WINDOWS;SQL Server Standard;0.204989;0.004892
Custom Preemptible;0;custom;WINDOWS;SQL Server Standard;0.21218;0.00103
Custom Committed 1y;0;custom;WINDOWS;SQL Server Standard;0.190407;0.002936
Custom Committed 3y;0;custom;WINDOWS;SQL Server Standard;0.184148;0.002097
